name,quadrant,ring,isNew,description,,,
Scrum,Arbetssätt/Metod,Tillämpa,TRUE,Agil metodik med roller och ritualer ,,,
SBE,Arbetssätt/Metod,Tillämpa,TRUE,Specification By Example. Ett sätt att arbeta fram och dokumentera krav som blir tydliga och enkla att förstå. Se även Cucumber.,,,
Kanban,Arbetssätt/Metod,Tillämpa,TRUE,Ett verktyg för att visualisera kommande och pågående arbete samt möjlighet att identifiera flaskhalsar i flödet och organisera arbetet.,,,
"Projektledning, agil",Arbetssätt/Metod,Tillämpa,TRUE,,,,
Kibana / Elastic search,Plattform,Tillämpa,TRUE,Elk stacken,,,
Mattermost,Plattform,Tillämpa,TRUE,"Chat, typ Slack",,,
McCloud,Plattform,Tillämpa,TRUE,Intern molntjänst för IaaS (Infrastructure as a Service) som utvecklats på Lantmäteriet för att skapa och underhålla servrar på ett automatiserat sätt,,,
OpenShift,Plattform,Tillämpa,TRUE,CaaS (Container as a Service) för drift av containers. Redhats anpassning av Kubernetes. ,,,
Prometheus,Plattform,Tillämpa,TRUE,Hämta mätdata och metrics från applikationer,,,
WSL,Plattform,Tillämpa,TRUE,Linux-distribution på Windows,,,
JMS,Plattform,Tillämpa,TRUE,,,,
Angular,Språk,Tillämpa,TRUE,Javascript-ramverk för att bygga Singe page-webapplikationer med komponenter,,,
React,Språk,Tillämpa,TRUE,Javascript-ramverk för att bygga Singe page-webapplikationer med komponenter,,,
gRPC,Språk,Tillämpa,TRUE,Kontraktsstyrt kommunikationsprotokoll som möjliggör kommunikation mellan backend-tjänster skrivna i olika språk.,,,
Java 11,Språk,Tillämpa,TRUE,,,,
Node.js,Språk,Tillämpa,TRUE,,,,
TypeScript,Språk,Tillämpa,TRUE,,,,https://knowit.sharepoint.com/sites/Local-KTG-Gavle/_layouts/15/Doc.aspx?sourcedoc=%7BFAD90330-8F37-40A6-9F1C-88529BF9C553%7D&file=Tech%20Radar.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1
Kotlin,Språk,Tillämpa,TRUE,"Programmeringsspråk framtaget av Jetbrains. Används ofta i Android-utveckling, men har även blivit populärt i backend.",,,
Container med testdata,Verktyg,Tillämpa,TRUE,Docker eller liknande,,,
Infrastruktur som kod,Verktyg,Tillämpa,TRUE,,,,
Microservices,Verktyg,Tillämpa,TRUE,"Arkitekturprincip för system för att skapa mindre, oberoende beståndsdelar med avgränsade ansvarsområden för att möjliggöra lättrörlighet och återanvändbarhet.",,,
Cucumber,Verktyg,Tillämpa,TRUE,Vertyg för dokumentation av krav (Gherkin-syntax) samt testautomatisering av dessa krav,,,
Ansible,Verktyg,Tillämpa,TRUE,Vertyg för att skripta installationer av servrar och applikationer,,,
Create-react-app,Verktyg,Tillämpa,TRUE,Verktyg för att skapa nytt och uppdatera befintligt React-projekt,,,
Cypress,Verktyg,Tillämpa,TRUE,Vertyg för automatisering av testning av webbapplikationer,,,
